frame_id,x1,y1,x2,y2,bbox_id,confidence,lm_x1,lm_y1,lm_x2,lm_y2,lm_x3,lm_y3,lm_x4,lm_y4,lm_x5,lm_y5,yaw,pitch,roll
0,561.25226,191.78728,680.96185,350.38727,2.0,0.99675,633.57007,260.31143,644.85736,254.11084,661.67676,278.48657,632.78632,301.33942,643.25055,297.96317,-69.25243,3.2832,-17.50695
0,1134.02466,189.62973,1255.29028,347.72958,1.0,0.99844,1163.52466,255.00433,1194.25757,258.37268,1166.61975,279.66791,1167.23401,297.73035,1193.21387,300.00537,35.37787,-9.70212,-4.21708
0,561.25226,191.78728,680.96185,350.38727,2.0,0.99675,633.57007,260.31143,644.85736,254.11084,661.67676,278.48657,632.78632,301.33942,643.25055,297.96317,-69.25243,3.2832,-17.50695
0,1134.02466,189.62973,1255.29028,347.72958,1.0,0.99844,1163.52466,255.00433,1194.25757,258.37268,1166.61975,279.66791,1167.23401,297.73035,1193.21387,300.00537,35.37787,-9.70212,-4.21708
1,561.37798,191.69028,680.81978,350.34343,2.0,0.9966,633.34656,260.40433,644.55505,254.1236,661.47913,278.52594,632.57562,301.27335,642.84479,297.87634,-68.62965,4.40133,-19.11268
1,1133.38084,190.51771,1256.64253,350.19289,1.0,0.99865,1163.11353,256.1427,1194.0874,259.02963,1164.39478,279.22653,1167.18542,299.65692,1191.39172,301.59378,37.87395,-10.01305,-3.81366
1,561.37798,191.69028,680.81978,350.34343,2.0,0.9966,633.34656,260.40433,644.55505,254.1236,661.47913,278.52594,632.57562,301.27335,642.84479,297.87634,-68.62965,4.40133,-19.11268
1,1133.38084,190.51771,1256.64253,350.19289,1.0,0.99865,1163.11353,256.1427,1194.0874,259.02963,1164.39478,279.22653,1167.18542,299.65692,1191.39172,301.59378,37.87395,-10.01305,-3.81366
2,561.13616,191.74932,680.62108,350.57547,2.0,0.99672,632.88568,260.64413,644.57422,254.20241,661.07184,278.57422,632.47284,301.39981,642.94739,297.91675,-68.72215,4.01658,-18.78333
2,1132.53591,191.19302,1256.59766,351.2035,1.0,0.9988,1161.82556,256.41574,1192.71082,259.64532,1163.14697,279.85455,1165.5199,299.77533,1190.01453,302.06696,38.45688,-10.2527,-4.31139
2,561.13616,191.74932,680.62108,350.57547,2.0,0.99672,632.88568,260.64413,644.57422,254.20241,661.07184,278.57422,632.47284,301.39981,642.94739,297.91675,-68.72215,4.01658,-18.78333
2,1132.53591,191.19302,1256.59766,351.2035,1.0,0.9988,1161.82556,256.41574,1192.71082,259.64532,1163.14697,279.85455,1165.5199,299.77533,1190.01453,302.06696,38.45688,-10.2527,-4.31139
3,561.10644,191.42748,680.57716,350.49794,2.0,0.99669,633.06744,260.82031,644.63599,254.54657,660.7901,278.84332,632.12317,301.18018,642.54437,297.85925,-68.24339,4.21387,-18.40956
3,1131.86173,190.91005,1256.19384,351.23971,1.0,0.99891,1161.45129,256.24088,1192.41675,259.72214,1162.68811,279.86984,1164.98975,299.38895,1190.02661,301.86932,39.65877,-9.1375,-4.45425
3,561.10644,191.42748,680.57716,350.49794,2.0,0.99669,633.06744,260.82031,644.63599,254.54657,660.7901,278.84332,632.12317,301.18018,642.54437,297.85925,-68.24339,4.21387,-18.40956
3,1131.86173,190.91005,1256.19384,351.23971,1.0,0.99891,1161.45129,256.24088,1192.41675,259.72214,1162.68811,279.86984,1164.98975,299.38895,1190.02661,301.86932,39.65877,-9.1375,-4.45425
4,560.96511,191.58648,680.23299,350.45622,2.0,0.99649,632.65729,260.97769,643.93567,254.56331,660.20837,278.70175,631.85693,301.27008,641.96393,297.88928,-67.91902,4.2086,-18.10957
4,1131.57743,190.33522,1255.61284,350.48666,1.0,0.99883,1161.52332,255.75504,1192.43262,259.30942,1162.65442,279.30283,1164.77344,298.6579,1189.80542,301.22571,39.11079,-8.52635,-4.52127
